date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-11-14,-65.6,-178.6,440755000,0.9583,0.9583
2024-11-14,-65.6,-178.1,440755000,0.5347,0
2024-11-14,-65.6,-178.2,440755000,0.5672,0
2024-11-14,-65.6,-178.5,440755000,0.6122,0.6122
2024-11-14,-65.6,-178.4,440755000,0.4619,0.4619
2024-11-14,-65.6,-178.3,440755000,0.5613,0
2024-11-14,-65.6,-178,440755000,0.5472,0
2024-11-14,-65.6,-178.5,440854000,0.5391,0.5391
2024-11-14,-65.6,-178.4,440854000,3.1802,2.4255
2024-11-14,-65.5,-178.1,440755000,1.6783,0.8913
2024-11-14,-65.5,-178,440755000,1.4505,0.658
2024-11-14,-65.5,-178.3,440755000,2.6636,1.9233
2024-11-14,-65.5,-178.2,440755000,1.1836,0.5233
2024-11-14,-65.5,-178.6,440755000,1.4486,1.4486
2024-11-14,-65.5,-178.4,440755000,0.9275,0.9275
2024-11-14,-65.5,-178.5,440854000,0.4513,0
2024-11-14,-65.5,-178.3,440854000,2.8786,2.8786
2024-11-14,-65.5,-178.6,440854000,0.4038,0
2024-11-14,-65.5,-178.8,440854000,0.0119,0
2024-11-14,-65.5,-178.7,440854000,0.5311,0
2024-11-14,-65.5,-178.4,440854000,2.1783,1.1508
2024-11-14,-65.4,-177.7,440755000,0.1055,0
2024-11-14,-65.4,-178.1,440755000,1.4647,1.4647
2024-11-14,-65.4,-178.4,440755000,1.0444,1.0444
2024-11-14,-65.4,-178.6,440755000,1.0747,1.0747
2024-11-14,-65.4,-178.3,440755000,1.1922,1.1922
2024-11-14,-65.4,-178.2,440755000,1.2986,1.2986
2024-11-14,-65.4,-178,440755000,0.7244,0.6388
2024-11-14,-65.4,-177.6,440755000,0.0222,0
2024-11-14,-65.4,-178.5,440755000,0.3691,0.3691
2024-11-14,-65.4,-177.9,440755000,0.3386,0
2024-11-14,-65.4,-177.8,440755000,0.525,0
2024-11-14,-65.4,-179.2,440854000,0.4619,0.4619
2024-11-14,-65.4,-178.8,440854000,0.4688,0
2024-11-14,-65.4,-178.9,440854000,0.4344,0
2024-11-14,-65.4,-179.1,440854000,0.5236,0.1697
2024-11-14,-65.4,-179,440854000,0.4619,0
2024-11-14,-65.4,-179.3,440854000,0.41,0.41
2024-11-14,-65.3,-177.2,440755000,0.2944,0
2024-11-14,-65.3,-177.5,440755000,0.3161,0
2024-11-14,-65.3,-177.6,440755000,0.3597,0
2024-11-14,-65.3,-177.1,440755000,0.2258,0
2024-11-14,-65.3,-177,440755000,0.0916,0
2024-11-14,-65.3,-177.4,440755000,0.3083,0
2024-11-14,-65.3,-177.3,440755000,0.2791,0
2024-11-14,-65.3,-179.3,440854000,0.0922,0.0922
2024-11-14,-65.3,-179.5,440854000,0.505,0.505
2024-11-14,-65.3,-179.7,440854000,0.6405,0.6405
2024-11-14,-65.3,-179.8,440854000,0.7022,0.7022
2024-11-14,-65.3,-179.9,440854000,0.683,0.683
2024-11-14,-65.3,-179.6,440854000,0.6966,0.6966
2024-11-14,-65.3,-179.4,440854000,0.5469,0.5469
2024-11-14,-65.2,-176.9,440755000,0.1497,0
2024-11-14,-65.2,-177,440755000,0.2938,0
2024-11-14,-65.2,179.5,440854000,0.5933,0.5575
2024-11-14,-65.2,-180,440854000,0.8055,0.8055
2024-11-14,-65.2,179.6,440854000,0.7486,0.7486
2024-11-14,-65.2,179.8,440854000,1.6855,1.6855
2024-11-14,-65.2,179.7,440854000,0.6355,0.6355
2024-11-14,-65.2,179.9,440854000,0.7672,0.7672
2024-11-14,-65.2,179.4,440854000,0.1305,0
2024-11-14,-65.1,179.4,440854000,0.6902,0
2024-11-14,-65.1,179.3,440854000,0.6991,0
2024-11-14,-65.1,179.2,440854000,0.5183,0
2024-11-14,-65.1,-179.7,441784000,3.7444,3.7444
2024-11-14,-65.1,-179.8,441784000,1.1355,0.9672
2024-11-14,-65.1,-179.6,441784000,4.8808,4.3641
2024-11-14,-65.1,-179.5,441784000,0.7941,0.7941
2024-11-14,-65,-168.2,272645000,0.4166,0
2024-11-14,-65,-167.9,272645000,0.4836,0.4836
2024-11-14,-65,-168,272645000,1.8074,0.2524
2024-11-14,-65,-168.1,272645000,2.7199,0
2024-11-14,-65,178.4,440282000,1.8202,1.8202
2024-11-14,-65,178.3,440282000,1.8441,1.8441
2024-11-14,-65,-179.9,441784000,5.6241,5.0397
2024-11-14,-65,-179.8,441784000,4.628,4.3094
2024-11-14,-65,-180,441784000,0.0361,0.0361
2024-11-14,-65,-179.7,441784000,2.3705,2.3705
2024-11-14,-64.9,-168.6,272645000,2.5438,2.5438
2024-11-14,-64.9,-168.4,272645000,3.0427,3.0427
2024-11-14,-64.9,-168.3,272645000,3.5769,3.1174
2024-11-14,-64.9,-168,272645000,0.7911,0.2633
2024-11-14,-64.9,-168.5,272645000,2.0149,2.0149
2024-11-14,-64.9,-167.9,272645000,1.0108,0.9252
2024-11-14,-64.9,-168.2,272645000,2.708,1.4797
2024-11-14,-64.9,-168.1,272645000,0.6136,0
2024-11-14,-64.9,178.1,440282000,0.5963,0.5963
2024-11-14,-64.9,178.3,440282000,4.2413,4.2413
2024-11-14,-64.9,178.2,440282000,4.1041,4.1041
2024-11-14,-64.9,178.4,440282000,1.0075,1.0075
2024-11-14,-64.9,-179.9,441784000,0.7163,0.7163
2024-11-14,-64.9,-179.8,441784000,0.1447,0.1447
2024-11-14,-64.8,-168.5,272645000,0.7311,0.7311
2024-11-14,-64.8,-168.7,272645000,0.5122,0.5122
2024-11-14,-64.8,-168.6,272645000,1.1063,1.1063
2024-11-14,-64.8,178.3,440282000,0.5986,0.5986
2024-11-14,-64.8,178.2,440282000,5.3449,4.7433
2024-11-14,-64.8,178,440282000,0.2269,0.2269
2024-11-14,-64.8,178.1,440282000,3.3269,3.3269
2024-11-14,-64.7,178,440282000,0.8894,0.8894
2024-11-14,-64,-161.4,272364000,1.8136,1.8136
2024-11-14,-64,-161.6,272364000,1.8163,1.8163
2024-11-14,-64,-161.8,272364000,0.978,0.978
2024-11-14,-64,-161.9,272364000,0.9669,0.9669
2024-11-14,-64,-161.5,272364000,3.8699,3.8699
2024-11-14,-64,-161.7,272364000,0.9052,0.9052
2024-11-14,-64,-162,272364000,0.6886,0.6886
2024-11-14,-63.9,-161.7,272364000,3.3624,3.3624
2024-11-14,-63.9,-161.6,272364000,1.9986,1.9986
2024-11-14,-63.9,-162.1,272364000,0.8325,0.8325
2024-11-14,-63.9,-162,272364000,0.1949,0.1949
2024-11-14,-63.9,-162.2,272364000,0.8536,0.8536
2024-11-14,-63.9,-162.5,272364000,1.6816,1.6816
2024-11-14,-63.9,-162.3,272364000,0.8036,0.8036
2024-11-14,-63.9,-161.8,272364000,2.1305,2.1305
2024-11-14,-63.9,-162.4,272364000,1.2238,1.2238
2024-11-14,-63.8,-162.5,272770000,3.2711,2.7999
2024-11-14,-63.8,-162,272770000,0.3949,0.1127
2024-11-14,-63.8,-162.1,272770000,0.4341,0
2024-11-14,-63.8,-162.3,272770000,0.4511,0
2024-11-14,-63.8,-161.9,272770000,0.3991,0.3991
2024-11-14,-63.8,-162.7,272770000,2.7719,2.7719
2024-11-14,-63.8,-162.2,272770000,0.4244,0
2024-11-14,-63.8,-162.4,272770000,0.4241,0
2024-11-14,-63.8,-161.8,272770000,2.3897,2.3897
2024-11-14,-63.8,-162.6,272770000,2.9683,2.9683
2024-11-14,-63.8,-160.1,273252010,0.4483,0
2024-11-14,-63.8,-159.9,273252010,0.3841,0
2024-11-14,-63.8,-160.2,273252010,0.3047,0
2024-11-14,-63.8,-160.3,273252010,0.5108,0
2024-11-14,-63.8,-160,273252010,0.3844,0
2024-11-14,-63.7,-162.1,272770000,3.6274,3.6274
2024-11-14,-63.7,-162,272770000,2.9905,2.9905
2024-11-14,-63.7,-161.9,272770000,2.8983,2.8983
2024-11-14,-63.7,-162.2,272770000,0.4452,0.4452
2024-11-14,-63.7,-161.8,272770000,0.1638,0.1638
2024-11-14,-63.7,-159.2,273252010,0.0575,0
2024-11-14,-63.7,-159.7,273252010,0.5149,0
2024-11-14,-63.7,-159.3,273252010,0.2061,0
2024-11-14,-63.7,-159.4,273252010,0.6319,0
2024-11-14,-63.7,-159.6,273252010,0.3855,0
2024-11-14,-63.7,-159.5,273252010,0.4161,0
2024-11-14,-63.7,-159.9,273252010,0.2302,0
2024-11-14,-63.7,-159.8,273252010,0.2538,0
2024-11-14,-63.6,-158.8,273252010,0.4327,0
2024-11-14,-63.6,-159.1,273252010,0.435,0
2024-11-14,-63.6,-159.2,273252010,0.3683,0
2024-11-14,-63.6,-158.6,273252010,0.0333,0
2024-11-14,-63.6,-158.9,273252010,0.3397,0
2024-11-14,-63.6,-158.7,273252010,0.4191,0
2024-11-14,-63.6,-159,273252010,0.5261,0
2024-11-14,-63.5,-158.5,273252010,0.4091,0
2024-11-14,-63.5,-158,273252010,0.0147,0
2024-11-14,-63.5,-158.6,273252010,0.3797,0
2024-11-14,-63.5,-158.1,273252010,0.4302,0
2024-11-14,-63.5,-158.2,273252010,0.3877,0
2024-11-14,-63.5,-158.3,273252010,0.4213,0
2024-11-14,-63.5,-158.4,273252010,0.438,0
2024-11-14,-63.4,-157.5,273252010,0.423,0
2024-11-14,-63.4,-157.4,273252010,0.0363,0
2024-11-14,-63.4,-157.6,273252010,0.3916,0
2024-11-14,-63.4,-158,273252010,0.3833,0
2024-11-14,-63.4,-157.9,273252010,0.4327,0
2024-11-14,-63.4,-157.7,273252010,0.3294,0
2024-11-14,-63.4,-157.8,273252010,0.4216,0
2024-11-14,-63.3,-157.2,273252010,0.3855,0
